tank_type_id,area,height,volume
1,0.7358,0.79,496
2,0.6188,0.794,445
3,0.759,0.7,500
4,0.6615,0.83,500
5,0.59976,0.83,450
6,0.7314,0.76,485
7,0.8,0.8,490
8,0.60375,0.96,547
9,0.6604,0.79,496
10,1.116,0.96,1004
11,0.38678,0.69,220
12,0.759,0.7,490
13,0.224604,0.452,94
14,0.3276,0.794,220
15,0.34755,0.695,220
16,0.3906,0.695,249
17,0.26992,0.8,213
18,0.38544,0.65,207
19,0.5625,1.25,529
20,0,0,90
21,0,1,0
22,0.22724,0.76,148
23,0.3174,0.76,220
24,0.3475,0.76,242
25,0.386,0.76,233
26,0.3197,0.76,220
27,0.3475,0.76,242
28,0,0,0
29,0.5798,0.79,400
32,0.2967,0.7,250
33,0,0,0
34,0,0,0
35,0,0,0
