,customer_id,tank_type_id,supplied_at,volume,sum,mean,matemp,mltemp,mhtemp,mwind,msnowacc,msnow,msun,mhumidi,mean_consumption,interval,last_supply_time,last_year_mean,last_year_sum,price
423,770,1,2018-12-01 11:41:00,410.5,4551.3,30.342,-3.873684210526315,-1.1315789473684208,-6.66842105263158,3.147368421052632,2.263157894736842,1.0,3.1894736842105265,68.52631578947368,21.605263157894736,19.0,2018-11-12 09:42:00,31.188815789473683,4740.7,95
424,770,1,2018-12-08 00:00:00,228.2,4551.3,30.342,-1.8,1.9285714285714288,-5.014285714285713,3.6,4.857142857142857,3.0,2.7142857142857144,73.57142857142857,32.6,7.0,2018-12-01 11:41:00,31.188815789473683,4740.7,95
425,770,1,2018-12-15 13:52:00,271.2,4551.3,30.342,3.975,6.9,1.8125,2.4125,16.625,4.125,3.025,71.625,33.9,8.0,2018-12-08 00:00:00,31.188815789473683,4740.7,95
426,770,1,2018-12-22 08:41:00,245.5,4551.3,30.342,-0.4000000000000001,2.2142857142857144,-2.4857142857142853,2.757142857142857,17.285714285714285,2.4285714285714284,1.7000000000000004,75.85714285714286,35.07142857142857,7.0,2018-12-15 13:52:00,31.188815789473683,4740.7,95
427,770,1,2018-12-29 08:12:00,230.2,4551.3,30.342,2.8,5.185714285714286,0.6,3.4571428571428577,17.0,3.7142857142857135,2.8714285714285714,69.14285714285714,32.885714285714286,7.0,2018-12-22 08:41:00,31.188815789473683,4740.7,95
428,770,1,2019-01-05 09:53:00,92.5,4551.3,30.342,1.971428571428571,4.6571428571428575,-0.2857142857142857,3.3142857142857145,30.285714285714285,4.142857142857143,1.6571428571428573,72.57142857142857,13.214285714285714,7.0,2018-12-29 08:12:00,31.188815789473683,4740.7,95
429,770,1,2019-01-12 10:08:00,288.3,4551.3,30.342,2.685714285714286,5.257142857142857,0.1714285714285714,3.6,41.71428571428572,5.714285714285714,3.3857142857142857,68.57142857142857,41.18571428571429,7.0,2019-01-05 09:53:00,31.188815789473683,4740.7,95
430,770,1,2019-01-19 06:21:00,265.9,4551.3,30.342,3.957142857142857,7.228571428571428,0.757142857142857,3.6142857142857134,43.142857142857146,3.0,4.4,69.57142857142857,37.98571428571428,7.0,2019-01-12 10:08:00,31.188815789473683,4740.7,95
431,770,1,2019-01-26 07:59:00,291.3,4551.3,30.342,2.9285714285714284,5.514285714285714,0.4571428571428571,3.8,51.142857142857146,4.571428571428571,2.371428571428571,73.14285714285714,41.614285714285714,7.0,2019-01-19 06:21:00,31.188815789473683,4740.7,95
432,770,1,2019-02-02 07:04:00,284.3,4551.3,30.342,3.557142857142857,6.7,0.5285714285714286,4.5,57.285714285714285,2.2857142857142856,4.5857142857142845,66.57142857142857,40.614285714285714,7.0,2019-01-26 07:59:00,31.188815789473683,4740.7,89
433,770,1,2019-02-09 07:42:00,300.3,4551.3,30.342,5.228571428571428,8.528571428571428,2.585714285714286,3.7142857142857135,61.42857142857143,4.285714285714286,2.2142857142857144,68.57142857142857,42.9,7.0,2019-02-02 07:04:00,31.188815789473683,4740.7,89
434,770,1,2019-02-16 07:50:00,280.7,4551.3,30.342,4.6000000000000005,7.214285714285714,1.885714285714286,3.0142857142857147,59.71428571428572,1.2857142857142858,4.671428571428571,61.85714285714285,40.1,7.0,2019-02-09 07:42:00,31.188815789473683,4740.7,89
435,770,1,2019-02-23 12:27:00,203.3,4551.3,30.342,-0.4857142857142857,2.757142857142857,-3.057142857142857,2.542857142857143,53.0,1.0,3.128571428571429,69.0,29.042857142857144,7.0,2019-02-16 07:50:00,31.188815789473683,4740.7,89
436,770,1,2019-03-02 07:01:00,185.4,4551.3,30.342,-1.2714285714285716,2.8857142857142857,-5.114285714285714,2.857142857142857,44.85714285714285,0.7142857142857143,5.799999999999999,59.142857142857146,26.485714285714288,7.0,2019-02-23 12:27:00,31.188815789473683,4740.7,89
437,770,1,2019-03-09 06:53:00,176.7,4551.3,30.342,-2.2285714285714286,1.8714285714285712,-6.1571428571428575,3.3428571428571425,30.714285714285715,0.1428571428571428,6.714285714285714,63.42857142857143,25.24285714285714,7.0,2019-03-02 07:01:00,31.188815789473683,4740.7,89
438,770,1,2019-03-16 07:36:00,164.4,4551.3,30.342,-2.457142857142857,-0.0,-4.999999999999999,3.7142857142857135,15.285714285714286,1.7142857142857142,3.342857142857143,71.85714285714286,23.485714285714288,7.0,2019-03-09 06:53:00,31.188815789473683,4740.7,89
439,770,1,2019-03-26 07:37:00,207.6,4551.3,30.342,-3.45,0.2399999999999999,-7.92,4.13,4.5,1.2,4.92,68.2,20.76,10.0,2019-03-16 07:36:00,31.188815789473683,4740.7,89
440,770,1,2019-04-01 08:12:00,147.4,4551.3,30.342,-1.3666666666666665,1.3,-4.3,3.683333333333333,1.1666666666666667,1.1666666666666667,5.783333333333332,56.0,24.566666666666663,6.0,2019-03-26 07:37:00,31.188815789473683,4740.7,89
441,770,1,2019-04-10 07:49:00,183.2,4551.3,30.342,-4.377777777777777,-0.8444444444444444,-9.32222222222222,3.9,0.1111111111111111,0.1111111111111111,6.133333333333334,65.55555555555556,20.355555555555554,9.0,2019-04-01 08:12:00,31.188815789473683,4740.7,89
