,customer_id,supplied_at,volume,interval,matemp,mltemp,mhtemp,tank_type_id
423,770,2018-12-01 11:41:00,410.5,19.0,3.9,1.1,6.7,1
424,770,2018-12-08 00:00:00,228.2,7.0,1.8,-1.9,5.0,1
425,770,2018-12-15 13:52:00,271.2,8.0,-4.0,-6.9,-1.8,1
426,770,2018-12-22 08:41:00,245.5,7.0,0.4,-2.2,2.5,1
427,770,2018-12-29 08:12:00,230.2,7.0,-2.8,-5.2,-0.6,1
428,770,2019-01-05 09:53:00,92.5,7.0,-2.0,-4.7,0.3,1
429,770,2019-01-12 10:08:00,288.3,7.0,-2.7,-5.3,-0.2,1
430,770,2019-01-19 06:21:00,265.9,7.0,-4.0,-7.2,-0.8,1
431,770,2019-01-26 07:59:00,291.3,7.0,-2.9,-5.5,-0.5,1
432,770,2019-02-02 07:04:00,284.3,7.0,-3.6,-6.7,-0.5,1
433,770,2019-02-09 07:42:00,300.3,7.0,-5.2,-8.5,-2.6,1
434,770,2019-02-16 07:50:00,280.7,7.0,-4.6,-7.2,-1.9,1
435,770,2019-02-23 12:27:00,203.3,7.0,0.5,-2.8,3.1,1
436,770,2019-03-02 07:01:00,185.4,7.0,1.3,-2.9,5.1,1
437,770,2019-03-09 06:53:00,176.7,7.0,2.2,-1.9,6.2,1
438,770,2019-03-16 07:36:00,164.4,7.0,2.5,0.0,5.0,1
439,770,2019-03-26 07:37:00,207.6,10.0,3.4,-0.2,7.9,1
440,770,2019-04-01 08:12:00,147.4,6.0,1.4,-1.3,4.3,1
441,770,2019-04-10 07:49:00,183.2,9.0,4.4,0.8,9.3,1
